traffic_unnamed_col1,traffic_unnamed_col2,year,region,state,traffic_accidents,traffic_coordinates,traffic_x_coordinate,traffic_y_coordinate,driving_unnamed_col,driving_licenses,driving_coordinates,driving_x_coordinates,driving_y_coordinate
0,0,2016,Makkah,of Casualties  and   Injured,12383,"21.628962766, 41.2636898334",41.2636898334,21.628962766,158,136055,"21.628962766, 41.2636898334",41.2636898334,21.628962766
37,37,2016,Makkah,of Accidents,134838,"21.628962766, 41.2636898334",41.2636898334,21.628962766,158,136055,"21.628962766, 41.2636898334",41.2636898334,21.628962766
73,73,2016,Makkah,of Casualties  and   Dead,2243,"21.628962766, 41.2636898334",41.2636898334,21.628962766,158,136055,"21.628962766, 41.2636898334",41.2636898334,21.628962766
1,1,2016,Eastern_Region,of Casualties  and   Dead,1113,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307,256,142307,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307
25,25,2016,Eastern_Region,of Accidents,101619,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307,256,142307,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307
26,26,2016,Eastern_Region,of Casualties  and   Injured,4893,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307,256,142307,"23.2883307307, 50.1478302439",50.1478302439,23.2883307307
2,2,2016,Tabouk,of Casualties  and   Dead,434,"27.90165499, 37.2598581394",37.2598581394,27.90165499,342,13610,"27.90165499, 37.2598581394",37.2598581394,27.90165499
41,41,2016,Tabouk,of Accidents,16031,"27.90165499, 37.2598581394",37.2598581394,27.90165499,342,13610,"27.90165499, 37.2598581394",37.2598581394,27.90165499
42,42,2016,Tabouk,of Casualties  and   Injured,1724,"27.90165499, 37.2598581394",37.2598581394,27.90165499,342,13610,"27.90165499, 37.2598581394",37.2598581394,27.90165499
3,3,2016,Hail,of Casualties  and   Dead,299,"27.400845724, 41.4406960508",41.4406960508,27.400845724,215,54507,"27.400845724, 41.4406960508",41.4406960508,27.400845724
4,4,2016,Hail,of Accidents,10199,"27.400845724, 41.4406960508",41.4406960508,27.400845724,215,54507,"27.400845724, 41.4406960508",41.4406960508,27.400845724
57,57,2016,Hail,of Casualties  and   Injured,932,"27.400845724, 41.4406960508",41.4406960508,27.400845724,215,54507,"27.400845724, 41.4406960508",41.4406960508,27.400845724
5,5,2016,Northern_Boarder,of Casualties  and   Dead,193,"30.197074783, 41.8171186952",41.8171186952,30.197074783,113,4958,"30.197074783, 41.8171186952",41.8171186952,30.197074783
9,9,2016,Northern_Boarder,of Casualties  and   Injured,631,"30.197074783, 41.8171186952",41.8171186952,30.197074783,113,4958,"30.197074783, 41.8171186952",41.8171186952,30.197074783
58,58,2016,Northern_Boarder,of Accidents,13196,"30.197074783, 41.8171186952",41.8171186952,30.197074783,113,4958,"30.197074783, 41.8171186952",41.8171186952,30.197074783
6,6,2017,Jazan,of Accidents,22161,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997,285,18345,"17.2072313962, 42.6525807422",42.6525807422,17.207231396199997
